product_name,brands,countries,energy_100g
"Cretamel, Crunchy Sesame Sticks With Cretan Honey",Cretamel Sa,US,9623.0
Raw 100% Cacao With Crunchy Nibs,Antidote,US,8523.0
Cooking Spray Oil,Family Gourmet,US,6975.0
100% Natural Non-Stick Canola Cooking Spray Oil,Family Gourmet,US,6975.0
Viewer Egg With Jelly Beans & Stickers,Disney,US,6694.0
Viewer Egg With Jelly Beans & Stickers,Flix Candy,US,6694.0
Dried Habanero Chiles,Frieda's  Inc.,US,6276.0
Crème fouettée mascarpone nature sucré Casa azzurra,Casa Azzuria,France,6063.0
Vinaigrette miel moutarde,Vandemoortele,France,6017.0
CHOCOLAT ROBERT,ROBERT,Madagascar,5870.0
Ryvita Crispbread Pumpkin & Oat,Ryvita,France,5732.0
Sun-up Mango Concentrate Fruit Drink,Sojasun,France,5623.0
Spicy & Unique Seasoning Blend,Ht Traders,US,5577.0
"Amore, Oregano, Spritzers",Panos Brands Llc,US,5577.0
"Amore, Flavor Spritzers, Lemon",Panos Brands Llc,US,5577.0
"Dulces Tipicos, Hot Candy Spoon, Tamarind",Brittany Records,US,5439.0
Tamalito Candy,Rainbow Games Inc,US,5439.0
Tawny' Orange,Wilkin sons ltd,France,5054.0
Hardwood Smoked Bacon,"Harmons,  Hill Meat Co",US,4707.0
Pure Sesame Oil,Rhee Bros. Inc.,US,4657.0
